id;code;name;reconcile;deprecated;user_type_id;tag_id1;tag_id2;tag_id3
chart_skr49_0010;0010;Entgeltlich erworbene Konzessionen, gewerbliche Schutzrechte und ähnliche Rechte und Werte sowie Lizenzen an solchen Rechten und Werten;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0015;0015;Konzessionen;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0016;0016;Ablöse bezahlte Sportler;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0017;0017;Ablöse unbezahlte Sportler bis 2.556 Euro;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0018;0018;Ablöse unbezahlte Sportler über 2.556 Euro;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0020;0020;Gewerbliche Schutzrechte;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0025;0025;Ähnliche Rechte und Werte;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0026;0026;Rechtswerte;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0027;0027;EDV-Software;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0030;0030;Lizenzen an gewerblichen Schutzrechten;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_065;
chart_skr49_0035;0035;Geschäfts- oder Firmenwert;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_066;
chart_skr49_0038;0038;Anzahlungen auf Geschäfts- oder Firmenwert;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_067;
chart_skr49_0039;0039;Geleistete Anzahlungen auf immaterielle Vermögensgegenstände;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_067;
chart_skr49_0040;0040;Verschmelzungsmehrwert;False;False;data_account_type_non_current_assets;account_tag_skr49_012;account_tag_skr49_066;
chart_skr49_0050;0050;Unbebaute Grundstücke;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_068;
chart_skr49_0055;0055;Grundstückswerte eigener Grundstücke bebaut mit Gebäuden;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_068;
chart_skr49_0060;0060;Grundstückswerte eigener Grundstücke bebaut mit Anlagen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_068;
chart_skr49_0065;0065;Grundstücke mit Substanzverzehr;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_068;
chart_skr49_0070;0070;Grundstücksgleiche Rechte (Erbbaurecht, Dauerwohnrecht, unbebaute Grundstücke);False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_068;
chart_skr49_0100;0100;Gebäude;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0110;0110;Vereinsheim;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0111;0111;Sporthallen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0112;0112;Sportanlagen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0120;0120;Vereinsgaststätte;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0125;0125;Sonstige Vereinsgebäude;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0130;0130;Geschäftsbauten;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0135;0135;Fabrikbauten;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0150;0150;Garagen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0155;0155;Außenanlagen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0160;0160;Hof- und Wegebefestigungen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0165;0165;Wohnbauten;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0170;0170;Einrichtungen für Gebäude;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0175;0175;Ausbauten, Anbauten und Zubauten;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0180;0180;Einbauten Pachtgrundstück;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0185;0185;Bauten auf fremden Grundstücken;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_069;
chart_skr49_0200;0200;Technische Anlagen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_070;
chart_skr49_0205;0205;Maschinen;False;False;data_account_type_non_current_assets;account_tag_skr49_013;account_tag_skr49_070;
